,Date,Day,Month,log_dsprd,log_ret,retv,csi_20day_vol,csi_rstar,exR_rstar,hsi_rstar,sse_rstar,corn_rstar,soybean_rstar,heat_rstar,bond_rstar,platinum_rstar,palladium_rstar
0,2005-01-05,5,1,2.858766418480837,0.009891998549532488,0.009111180440583245,,,,,,,,,,,
1,2005-01-06,6,1,2.599722324216576,-0.009505418960189083,0.009706519757624096,,,,,,,,,,,
2,2005-01-07,7,1,2.7663191092261914,0.0008032006450724438,2.0834884276983594e-05,,,,,,,,,,,
3,2005-01-10,10,1,2.651127053702594,0.01003122920322852,0.009378917247496463,,,,,,,,,,,
4,2005-01-11,11,1,2.1353491736181227,0.0032646776124414245,0.000851431210813683,,,,,,,,,,,
5,2005-01-12,12,1,2.043814364036688,-0.00038116637370499973,5.298596136036311e-05,,,,,,,,,,,
6,2005-01-13,13,1,1.912501086924181,0.0001304153731478408,4.67998881077805e-06,,,,,,,,,,,
7,2005-01-14,14,1,2.9564715596006894,-0.008633987918558184,0.008065362107068152,,,,,,,,,,,
8,2005-01-17,17,1,2.8003254772113766,-0.021332669734116294,0.04699971615746521,,,,,,,,,,,
9,2005-01-18,18,1,2.679650726580515,0.007455727741550788,0.005053759024923163,,,,,,,,,,,
10,2005-01-19,19,1,2.2049722641270506,-0.0077038333531112,0.006481186319942307,,,,,,,,,,,
11,2005-01-20,20,1,2.3960754360813863,-0.011396253229631448,0.013789808236646803,,,,,,,,,,,
12,2005-01-21,21,1,3.709417105331483,0.027182734593802493,0.07201701662079363,,,,,,,,,,,
13,2005-01-24,24,1,2.7479117345273414,0.01568140861479339,0.023515181031107585,,,,,,,,,,,
14,2005-01-25,25,1,2.5423890852013655,-0.00036073951992054987,5.0053886119492456e-05,,,,,,,,,,,
15,2005-01-26,26,1,2.3969857684155307,-0.007888555271355457,0.006782022311814683,,,,,,,,,,,
16,2005-01-27,27,1,2.634044787791719,-0.015576321763187018,0.02535441567679887,,,,,,,,,,,
17,2005-01-28,28,1,2.3427668826268744,-0.005576605117869171,0.003508611442245597,,,,,,,,,,,
18,2005-01-31,31,1,2.5376572151735273,-0.014895628541722772,0.023233004846421604,,,,,,,,,,,
